id,collection,dc.contributor.advisor[en_US],dc.contributor.author[en_US],dc.date.issued[en_US],dc.description.abstract[en_US],dc.format.extent[en_US],dc.identifier.uri,dc.language[en_US],dc.note[en_US],dc.publisher[en_US],dc.subject[en_US],dc.thesis.degree[en_US],dc.title.alternative[en_US],dc.title[en_US],dc.type[en_US],ou.identifier[en_US]
53,11244/111,,"Bailey, Robert Bain.",1956,,"xii, 119 leaves ;",http://hdl.handle.net/11244/165,,"Source: Dissertation Abstracts International, Volume: 16-08, page: 1397.",The University of Oklahoma.,"Reading (Elementary)||Prediction of scholastic success.||Education, Educational Psychology.",Educat.D.,,A study of predicting academic success in elementary school reading from projective tests /,Thesis,(UMI)AAI0016968
35,11244/111,,"Graber, Richard Rex.",1955,,"viii, 287 leaves :",http://hdl.handle.net/11244/147,,"Source: Dissertation Abstracts International, Volume: 16-01, page: 0184.",The University of Oklahoma.,"Biology, Zoology.||Sparrows.",Ph.D.,,Taxonomic and adaptive features of the juvenal plumage in North American sparrows /,Thesis,(UMI)AAI0015452
28,11244/111,,"Coalson, George Otis.",1955,,"vii, [242] leaves :",http://hdl.handle.net/11244/140,,"Source: Dissertation Abstracts International, Volume: 16-01, page: 0108.",The University of Oklahoma.,"History, Modern.||Migrant labor Texas.||Agricultural laborers Texas.",Ph.D.,,"The development of the migratory farm labor system in Texas, 1900- 1954 /",Thesis,(UMI)AAI0015445
62,11244/111,,"Katzberg, Allan A.",1956,,"x, 140 leaves, [8] leaves of plates :",http://hdl.handle.net/11244/174,,"Source: Dissertation Abstracts International, Volume: 17-02, page: 0388.",The University of Oklahoma.,"Biology, Animal Physiology.||Karyokinesis.||Steroids.",Ph.D.,,The mechanism of action of steroidal compounds on the process of mitosis /,Thesis,(UMI)AAI0016977
11,11244/111,,"Manney, W. Darrell.",1955,,"viii, 156 leaves ;",http://hdl.handle.net/11244/123,,"Source: Dissertation Abstracts International, Volume: 15-11, page: 2075.",The University of Oklahoma.,"School principals.||Education, Administration.||Junior high schools.",Educat.D.,,The professional preparation and personal characteristics needed by junior high school principals /,Thesis,(UMI)AAI0014010
1,11244/111,,"Clevenger, Ima Fuchs.",1955,,"x, 471 leaves :",http://hdl.handle.net/11244/113,,"Source: Dissertation Abstracts International, Volume: 15-12, page: 2596.",The University of Oklahoma.,"Theater.||Catt, Carrie Chapman, 1859-1947.",Ph.D.,,Invention and arrangement in the public address of Carrie Chapman Catt /,Thesis,(UMI)AAI0014000
48,11244/111,,"Nystrom, Charles Wilbur.",1956,,"vii, 93 leaves :",http://hdl.handle.net/11244/160,,"Source: Dissertation Abstracts International, Volume: 16-08, page: 1334.",The University of Oklahoma.,"Chemistry, Biochemistry.||Anthocyanins.||Flavonoids.",Ph.D.,,Studies on flavonoid and anthocyanin pigments /,Thesis,(UMI)AAI0016762
21,11244/111,,"Sangha, Kehar S.",1955,,"ix, 151 leaves ;",http://hdl.handle.net/11244/133,,"Source: Dissertation Abstracts International, Volume: 15-11, page: 2042.",The University of Oklahoma.,"Industries Oklahoma.||Wages Oklahoma.||Economics, General.",Ph.D.,,An analysis of wages and value added by manufacture in Oklahoma /,Thesis,(UMI)AAI0014020
73,11244/111,,"Baird, Clyde Ray.",1956,,"ix, 161 leaves ;",http://hdl.handle.net/11244/185,,"Source: Dissertation Abstracts International, Volume: 17-01, page: 0058.",The University of Oklahoma.,"Educational counseling.||High schools Kansas.||Education, General.",Educat.D.,,Guidance services in Kansas public secondary schools /,Thesis,(UMI)AAI0019484
29,11244/111,,"Connell, James Frederick Louis.",1955,,"xvi, 353 leaves :",http://hdl.handle.net/11244/141,,"Source: Dissertation Abstracts International, Volume: 16-01, page: 0099.",The University of Oklahoma.,"Geology.||Paleontology Eocene.||Geology Georgia.||Geology, Stratigraphic Eocene.",Ph.D.,,Stratigraphy and paleontology of the Jackson group of Georgia /,Thesis,(UMI)AAI0015446
